=== Day 17 ===
compulsory | kəmˈpʌlsəri | 의무적인, 강제적인 | mandatory, required | optional | Education is compulsory. | 교육은 의무이다. | Compulsory military service. | 의무 병역.
confiscate | ˈkɑːnfɪskeɪt | 몰수하다, 압수하다 | seize, take | return | The police confiscated the drugs. | 경찰이 마약을 압수했다. | His passport was confiscated. | 여권이 몰수되었다.
prelude | ˈprɛluːd | 서곡, 전주곡, 서막 | introduction, beginning | conclusion | The meeting was a prelude to negotiations. | 회의가 협상의 서막이었다. | She played a piano prelude. | 피아노 전주곡을 연주했다.
arduous | ˈɑːrdʒuəs | 힘든, 고된 | difficult, tough | easy | The task was arduous. | 과제가 힘들었다. | She completed an arduous journey. | 고된 여행을 마쳤다.
remorse | rɪˈmɔːrs | 회한, 후회, 양심의 가책 | regret, guilt | satisfaction | She felt deep remorse. | 깊은 회한을 느꼈다. | He showed no remorse. | 후회의 기색이 없었다.
amenable | əˈmiːnəbl | 기꺼이 따르는, 순응하는 | willing, open | resistant | She is amenable to change. | 변화에 기꺼이 따른다. | He was amenable to suggestions. | 제안에 순응적이었다.
sporadic | spəˈrædɪk | 산발적인, 간헐적인 | occasional, irregular | constant | There was sporadic gunfire. | 산발적인 총격이 있었다. | Sporadic protests occurred. | 간헐적 시위가 발생했다.
precipitate | prɪˈsɪpɪteɪt | 촉발하다, 재촉하다; 성급한 | trigger, hasten | delay | The crisis precipitated change. | 위기가 변화를 촉발했다. | She made a precipitate decision. | 성급한 결정을 했다.
conjure | ˈkɑːndʒər | 마법을 부리다, 떠올리다 | summon, evoke | - | She conjured up an image. | 이미지를 떠올렸다. | He conjured a rabbit from a hat. | 모자에서 토끼를 꺼냈다.
austere | ɔːˈstɪr | 검소한, 엄격한 | strict, plain | luxurious | The room was austere. | 방이 꾸밈없었다. | She leads an austere life. | 검소한 삶을 산다.

=== Day 19 ===
envisage | ɪnˈvɪzɪdʒ | 상상하다, 마음속에 그리다 | envision, imagine | - | She envisaged a bright future. | 밝은 미래를 상상했다. | Can you envisage the result? | 결과를 상상할 수 있나?
quandary | ˈkwɑːndəri | 곤혹, 진퇴양난 | dilemma, predicament | clarity | She was in a quandary. | 진퇴양난에 빠졌다. | The quandary was difficult to resolve. | 곤혹스러운 상황이 해결하기 어려웠다.
susceptible | səˈsɛptəbl | 영향 받기 쉬운, 감수성이 강한 | vulnerable, prone | immune | Children are susceptible to illness. | 아이들이 병에 걸리기 쉽다. | She is susceptible to flattery. | 아첨에 약하다.
condescend | ˌkɑːndɪˈsɛnd | 잘난 체하다, 겸손히 ~하다 | patronize | respect | She condescended to speak to him. | 잘난 체하며 그에게 말했다. | Don't condescend to others. | 다른 사람에게 잘난 체하지 마.
circumvent | ˌsɜːrkəmˈvɛnt | 우회하다, 회피하다 | avoid, bypass | confront | She circumvented the regulations. | 규정을 우회했다. | They tried to circumvent the law. | 법을 피하려 시도했다.
belligerent | bəˈlɪdʒərənt | 호전적인, 교전 중인 | aggressive, hostile | peaceful | He became belligerent. | 호전적이 되었다. | The belligerent nations clashed. | 교전국이 충돌했다.
reprehensible | ˌrɛprɪˈhɛnsɪbl | 비난받을 만한, 나쁜 | deplorable, shameful | admirable | His behavior is reprehensible. | 행동이 비난받을 만하다. | A reprehensible act. | 비난받을 만한 행위.
affinity | əˈfɪnɪti | 친화력, 유사점, 호감 | attraction, similarity | aversion | She has an affinity for art. | 예술에 대한 친화력이 있다. | The affinity between them is clear. | 둘 사이의 유사성이 명확하다.
depreciate | dɪˈpriːʃieɪt | 가치가 떨어지다, 감가상각하다 | devalue, decline | appreciate | The currency depreciated. | 통화 가치가 떨어졌다. | Cars depreciate over time. | 차는 시간이 지나면 가치가 줄어든다.
vindictive | vɪnˈdɪktɪv | 보복적인, 앙심을 품은 | vengeful, spiteful | forgiving | She is not vindictive. | 보복적이지 않다. | His vindictive actions hurt everyone. | 보복적 행동이 모두를 해쳤다.
=== Day 20 ===
extricate | ˈɛkstrɪkeɪt | 구출하다, 해방하다 | free, release | entangle | She extricated herself from the situation. | 상황에서 빠져나왔다. | Firefighters extricated the driver. | 소방관이 운전자를 구출했다.
incorrigible | ɪnˈkɔːrɪdʒəbl | 교정할 수 없는, 구제불능의 | hopeless, unreformable | reformable | He is an incorrigible liar. | 구제불능의 거짓말쟁이다. | Her optimism is incorrigible. | 낙관주의가 교정할 수 없다.
propensity | prəˈpɛnsɪti | 성향, 경향 | tendency, inclination | aversion | She has a propensity for kindness. | 친절한 성향이 있다. | His propensity for risk. | 위험을 무릅쓰는 경향.
immutable | ɪˈmjuːtəbl | 불변의, 변경할 수 없는 | unchangeable, permanent | mutable | The laws of nature are immutable. | 자연 법칙은 불변이다. | His decision is immutable. | 결정은 바꿀 수 없다.
equitable | ˈɛkwɪtəbl | 공평한, 공정한 | fair, just | inequitable | She wants equitable treatment. | 공평한 대우를 원한다. | An equitable distribution of resources. | 자원의 공정한 분배.
incessant | ɪnˈsɛsənt | 끊임없는 | constant, continuous | intermittent | The incessant noise annoyed her. | 끊임없는 소음이 짜증났다. | Incessant rain fell for days. | 끊임없는 비가 며칠간 내렸다.
prolific | prəˈlɪfɪk | 다작의, 풍부한 | productive, abundant | unproductive | She is a prolific writer. | 다작 작가이다. | The artist was prolific. | 예술가가 다작이었다.
venerable | ˈvɛnərəbl | 존경할 만한, 유서 깊은 | respected, esteemed | disreputable | He is a venerable professor. | 존경할 만한 교수이다. | The venerable institution. | 유서 깊은 기관.
disparity | dɪˈspærɪti | 격차, 불균형 | inequality, gap | equality | The income disparity is growing. | 소득 격차가 커지고 있다. | Disparity in education levels. | 교육 수준 격차.
abrogate | ˈæbrəɡeɪt | 폐지하다, 무효로 하다 | abolish, annul | enact | The treaty was abrogated. | 조약이 폐지되었다. | She abrogated the agreement. | 합의를 무효로 했다.
=== Day 21 ===
rhetoric | ˈrɛtərɪk | 수사학, 웅변 | eloquence, oratory | - | His rhetoric was persuasive. | 수사법이 설득력 있었다. | Political rhetoric often misleads. | 정치적 수사법이 자주 오도한다.
quorum | ˈkwɔːrəm | 정족수 | minimum number | - | A quorum was not reached. | 정족수가 충족되지 않았다. | We need a quorum to vote. | 투표하려면 정족수가 필요하다.
placate | ˈpleɪkeɪt | 달래다, 무마하다 | calm, soothe | provoke | She tried to placate the crowd. | 군중을 달래려 했다. | He placated his angry wife. | 화난 아내를 달랬다.
bequeath | bɪˈkwiːð | 유산으로 남기다, 물려주다 | leave, hand down | inherit | She bequeathed her fortune. | 재산을 유산으로 남겼다. | He bequeathed his collection. | 컬렉션을 물려줬다.
draconian | drəˈkoʊniən | 가혹한, 엄격한 | harsh, severe | lenient | The penalty was draconian. | 벌이 가혹했다. | Draconian measures were implemented. | 가혹한 조치가 시행되었다.
voluminous | vəˈluːmɪnəs | 방대한, 양이 많은 | massive, extensive | slim | She wrote voluminous notes. | 방대한 노트를 작성했다. | The voluminous report. | 방대한 보고서.
sacrilege | ˈsækrɪlɪdʒ | 신성모독 | blasphemy, desecration | reverence | It would be sacrilege to destroy it. | 파괴하는 것은 신성모독이다. | The act was considered sacrilege. | 행위가 신성모독으로 여겨졌다.
oblivious | əˈblɪviəs | 알아차리지 못하는, 의식하지 못하는 | unaware, ignorant | aware | She was oblivious to the danger. | 위험을 의식하지 못했다. | He walked on, oblivious. | 모르는 채 걸어갔다.
deference | ˈdɛfərəns | 존경, 경의 | respect, regard | disrespect | She showed deference to her elders. | 어른에게 경의를 표했다. | In deference to tradition. | 전통에 대한 경의.
substantiate | səbˈstænʃieɪt | 입증하다, 실증하다 | prove, verify | disprove | She substantiated her claim. | 주장을 입증했다. | The evidence substantiates the theory. | 증거가 이론을 실증한다.
=== Day 22 ===
ubiquitous | juːˈbɪkwɪtəs | 어디에나 있는, 편재하는 | omnipresent, everywhere | rare | Smartphones are ubiquitous. | 스마트폰이 어디에나 있다. | Coffee shops are ubiquitous. | 커피숍이 편재한다.
pragmatic | præɡˈmætɪk | 실용적인, 실리적인 | practical, realistic | idealistic | She took a pragmatic approach. | 실용적 접근을 취했다. | Be pragmatic about the situation. | 상황에 실리적이어라.
innocuous | ɪˈnɑːkjuəs | 무해한, 해가 없는 | harmless, safe | harmful | The comment was innocuous. | 댓글이 무해했다. | An innocuous substance. | 무해한 물질.
exuberant | ɪɡˈzuːbərənt | 열정적인, 풍부한 | enthusiastic, lively | subdued | She was exuberant with joy. | 기쁨으로 열정적이었다. | The exuberant crowd cheered. | 열정적인 군중이 환호했다.
delineate | dɪˈlɪnieɪt | 윤곽을 그리다, 설명하다 | outline, describe | - | She delineated the plan clearly. | 계획을 명확히 설명했다. | The report delineates the issues. | 보고서가 문제를 설명한다.
ignominy | ˈɪɡnəmɪni | 불명예, 치욕 | disgrace, shame | honor | She suffered ignominy. | 불명예를 당했다. | The ignominy of defeat. | 패배의 치욕.
vacillate | ˈvæsɪleɪt | 동요하다, 주저하다 | hesitate, waver | decide | She vacillated between choices. | 선택 사이에서 동요했다. | Don't vacillate on this issue. | 이 문제에 주저하지 마.
spurious | ˈspjʊriəs | 가짜의, 허위의 | false, fake | genuine | The claim is spurious. | 주장이 허위이다. | Spurious information misled the public. | 허위 정보가 대중을 오도했다.
mollify | ˈmɑːlɪfaɪ | 달래다, 진정시키다 | calm, soothe | anger | She tried to mollify him. | 달래려 했다. | The apology mollified her. | 사과가 화를 풀어줬다.
perfunctory | pərˈfʌŋktəri | 형식적인, 건성의 | superficial, cursory | thorough | He gave a perfunctory greeting. | 형식적인 인사를 했다. | A perfunctory examination. | 건성으로 검사.
=== Day 23 ===
recalcitrant | rɪˈkælsɪtrənt | 반항적인, 다루기 힘든 | stubborn, defiant | obedient | The recalcitrant child refused. | 반항적인 아이가 거부했다. | Recalcitrant workers were disciplined. | 반항적 근로자가 징계를 받았다.
penchant | ˈpɛntʃənt | 강한 기호, 취향 | liking, fondness | dislike | She has a penchant for adventure. | 모험에 대한 강한 기호가 있다. | His penchant for luxury. | 사치에 대한 취향.
repudiate | rɪˈpjuːdieɪt | 거부하다, 부인하다 | reject, deny | accept | She repudiated the offer. | 제안을 거부했다. | He repudiated the accusations. | 비난을 부인했다.
predilection | ˌprɛdɪˈlɛkʃən | 편애, 선호 | preference, fondness | aversion | She has a predilection for Italian food. | 이탈리안 음식을 편애한다. | His predilection for sports. | 스포츠에 대한 선호.
extemporaneous | ɪkˌstɛmpəˈreɪniəs | 즉석의, 즉흥의 | impromptu, spontaneous | prepared | She gave an extemporaneous speech. | 즉석 연설을 했다. | His extemporaneous comments. | 즉흥적 발언.
atonement | əˈtoʊnmənt | 속죄, 보상 | repentance, amends | offense | He sought atonement. | 속죄를 구했다. | She made atonement for her sins. | 죄의 속죄를 했다.
impasse | ˈɪmpæs | 교착 상태, 막다른 골목 | deadlock, stalemate | progress | Negotiations reached an impasse. | 협상이 교착 상태에 이르렀다. | Break the impasse. | 교착 상태를 타개해라.
apathy | ˈæpəθi | 무관심, 냉담 | indifference, disinterest | enthusiasm | Voter apathy is a problem. | 유관자 무관심이 문제이다. | She showed complete apathy. | 완전한 무관심을 보였다.
animosity | ˌænɪˈmɑːsɪti | 적대감, 적의 | hostility, hatred | friendship | There is animosity between them. | 그들 사이에 적대감이 있다. | She bears no animosity. | 적의가 없다.
corrosion | kəˈroʊʒən | 부식, 침식 | rust, decay | - | Salt causes corrosion. | 소금이 부식을 일으킨다. | Protect metal from corrosion. | 금속을 부식으로부터 보호해라.

=== Day 24 ===
enigmatic | ˌɛnɪɡˈmætɪk | 수수께끼 같은, 불가사의한 | mysterious, puzzling | clear | She has an enigmatic smile. | 수수께끼 같은 미소가 있다. | The artist remains enigmatic. | 예술가가 여전히 불가사의하다.
mercenary | ˈmɜːrsɪnɛri | 용병, 돈만 밝히는 | greedy, hired | selfless | He hired a mercenary army. | 용병 군대를 고용했다. | Mercenary motives drove him. | 돈을 밝히는 동기가 이끌었다.
surreptitious | ˌsɜːrəpˈtɪʃəs | 은밀한, 몰래 하는 | secret, covert | open | She took a surreptitious glance. | 몰래 흘끗 보았다. | Surreptitious activities were uncovered. | 은밀한 활동이 드러났다.
ludicrous | ˈluːdɪkrəs | 우스꽝스러운, 터무니없는 | absurd, ridiculous | reasonable | The idea is ludicrous. | 아이디어가 터무니없다. | What a ludicrous suggestion! | 우스꽝스러운 제안이다!
redress | rɪˈdrɛs | 시정하다, 보상하다; 시정, 보상 | correct, remedy | - | She sought redress for the injury. | 부상에 대한 보상을 구했다. | The अदालत provided redress. | 법원이 시정을 제공했다.
nonchalant | ˌnɑːnʃəˈlɑːnt | 태연한, 무심한 | casual, indifferent | anxious | She seemed nonchalant about the news. | 소식에 태연해 보였다. | His nonchalant attitude irritated her. | 무심한 태도가 짜증났다.
sycophant | ˈsɪkəfænt | 아첨꾼 | flatterer | critic | He surrounded himself with sycophants. | 아첨꾼들로 둘러싸였다. | She despises sycophants. | 아첨꾼을 경멸한다.
belated | bɪˈleɪtɪd | 뒤늦은, 지각한 | late, overdue | timely | She sent a belated birthday card. | 뒤늦은 생일 카드를 보냈다. | A belated apology was offered. | 뒤늦은 사과가 제공되었다.
retribution | ˌrɛtrɪˈbjuːʃən | 응보, 보복 | punishment, revenge | reward | He feared retribution. | 응보를 두려워했다. | Divine retribution followed. | 천벌이 따랐다.
avarice | ˈævərɪs | 탐욕, 탐심 | greed, cupidity | generosity | Avarice led to his downfall. | 탐욕이 몰락을 초래했다. | She was consumed by avarice. | 탐욕에 사로잡혔다.
=== Day 25 ===
impeccable | ɪmˈpɛkəbl | 나무랄 데 없는, 완벽한 | flawless, perfect | flawed | Her taste is impeccable. | 취향이 나무랄 데 없다. | He has impeccable manners. | 매너가 완벽하다.
protracted | proʊˈtræktɪd | 오래 끄는, 장기간의 | prolonged, extended | brief | The war was protracted. | 전쟁이 장기간이었다. | A protracted negotiation. | 오래 끄는 협상.
sanguine | ˈsæŋɡwɪn | 낙관적인, 자신 있는 | optimistic, hopeful | pessimistic | She remains sanguine about the future. | 미래에 대해 낙관적이다. | He gave a sanguine forecast. | 낙관적 전망을 내놓았다.
duplicity | djuːˈplɪsɪti | 이중성, 표리부동 | deceit, dishonesty | honesty | His duplicity was revealed. | 이중성이 드러났다. | She was accused of duplicity. | 표리부동으로 비난받았다.
insipid | ɪnˈsɪpɪd | 맛없는, 재미없는 | bland, dull | tasty, interesting | The food was insipid. | 음식이 맛없었다. | The movie was insipid. | 영화가 재미없었다.
acrimonious | ˌækrɪˈmoʊniəs | 격렬한, 신랄한 | bitter, harsh | amicable | The divorce was acrimonious. | 이혼이 격렬했다. | An acrimonious debate. | 신랄한 토론.
tantamount | ˈtæntəmaʊnt | ~와 마찬가지인, 동등한 | equivalent, equal | different | Silence is tantamount to agreement. | 침묵은 동의와 마찬가지이다. | It is tantamount to surrender. | 항복과 마찬가지이다.
hubris | ˈhjuːbrɪs | 오만, 자만 | arrogance, pride | humility | His hubris led to his defeat. | 오만이 패배를 초래했다. | Beware of hubris. | 오만을 경계해라.
pecuniary | pɪˈkjuːniɛri | 금전적인, 금전상의 | financial, monetary | - | She had pecuniary problems. | 금전적 문제가 있었다. | Pecuniary interests influenced the decision. | 금전적 이해관계가 결정에 영향을 미쳤다.
magnate | ˈmæɡneɪt | 거물, 재벌 | tycoon, baron | - | She is a media magnate. | 미디어 거물이다. | The oil magnate donated millions. | 석유 재벌이 수백만을 기부했다.
=== Day 26 ===
vitriolic | ˌvɪtriˈɑːlɪk | 신랄한, 독설적인 | caustic, harsh | kind | She launched a vitriolic attack. | 신랄한 공격을 했다. | Vitriolic criticism hurt deeply. | 독설적 비평이 깊이 상처 주었다.
proclivity | proʊˈklɪvɪti | 성향, 경향 | tendency, inclination | aversion | He has a proclivity for risk. | 위험을 무릅쓰는 성향이 있다. | Her proclivity for kindness. | 친절한 성향.
anachronism | əˈnækrənɪzəm | 시대착오, 시대에 뒤진 것 | relic | - | The law is an anachronism. | 법이 시대착오이다. | His views are an anachronism. | 견해가 시대에 뒤진다.
exorbitant | ɪɡˈzɔːrbɪtənt | 법외의, 터무니없이 비싼 | excessive, extreme | reasonable | The price is exorbitant. | 가격이 터무니없이 비싸다. | Exorbitant fees discouraged customers. | 법외의 수수료가 고객을 단념시켰다.
taciturn | ˈtæsɪtɜːrn | 말이 적은, 과묵한 | quiet, reserved | talkative | She is naturally taciturn. | 본래 과묵하다. | The taciturn man rarely speaks. | 과묵한 남자가 거의 말하지 않는다.
benefactor | ˈbɛnɪfæktər | 후원자, 은인 | sponsor, patron | - | The museum's main benefactor donated art. | 박물관 주요 후원자가 예술품을 기부했다. | She is a generous benefactor. | 관대한 후원자이다.
nefarious | nɪˈfɛriəs | 사악한, 극악무도한 | wicked, evil | virtuous | He committed a nefarious crime. | 사악한 범죄를 저질렀다. | Nefarious activities were uncovered. | 극악무도한 활동이 드러났다.
ambivalent | æmˈbɪvələnt | 양가감정의, 상반된 | undecided, conflicted | certain | She feels ambivalent about the offer. | 제안에 양가감정이다. | He is ambivalent about the change. | 변화에 대해 상반된 감정이다.
trepidation | ˌtrɛpɪˈdeɪʃən | 불안, 공포, 전율 | fear, anxiety | confidence | She felt trepidation before the exam. | 시험 전에 불안을 느꼈다. | With some trepidation, she entered. | 약간의 불안과 함께 들어갔다.
idiosyncratic | ˌɪdiəsɪŋˈkrætɪk | 특이한, 독특한 | peculiar, unique | common | She has idiosyncratic habits. | 특이한 습관이 있다. | His style is highly idiosyncratic. | 스타일이 매우 독특하다.
=== Day 27 ===
exhilarate | ɪɡˈzɪləreɪt | 기분을 들뜨게 하다 | thrill, excite | depress | The victory exhilarated the team. | 승리가 팀을 들뜨게 했다. | She was exhilarated by the news. | 소식에 기분이 들떴다.
litigious | lɪˈtɪdʒəs | 소송을 좋아하는, 소송의 | combative | - | He is very litigious. | 소송을 좋아한다. | A litigious society. | 소송이 잦은 사회.
obsequious | əbˈsiːkwiəs | 아첨하는, 비굴한 | servile, fawning | assertive | His obsequious manner was annoying. | 비굴한 태도가 짜증났다. | She was obsequious toward her boss. | 상사에게 아첨했다.
idyllic | aɪˈdɪlɪk | 목가적인, 전원적인 | peaceful, charming | troubled | They lived in an idyllic village. | 목가적인 마을에 살았다. | An idyllic summer day. | 전원적인 여름 날.
querulous | ˈkwɛrələs | 불평이 많은, 짜증 내는 | complaining, whiny | cheerful | She was querulous about the service. | 서비스에 불평이 많았다. | A querulous tone of voice. | 짜증 내는 말투.
circumscribe | ˈsɜːrkəmskraɪb | 제한하다, 둘러싸다 | limit, restrict | expand | Her freedom was circumscribed. | 자유가 제한되었다. | Laws circumscribe our actions. | 법이 행동을 제한한다.
magnanimity | ˌmæɡnəˈnɪmɪti | 관대함, 도량이 넓음 | generosity, nobility | pettiness | She showed magnanimity. | 관대함을 보였다. | His magnanimity was admired. | 관대함이 존경받았다.
sycophancy | ˈsɪkəfənsi | 아첨, 아부 | flattery | criticism | Sycophancy won't get you far. | 아첨만으로는 먼 길을 갈 수 없다. | He despises sycophancy. | 아첨을 경멸한다.
propitious | prəˈpɪʃəs | 유리한, 상서로운 | favorable, auspicious | unfavorable | The conditions are propitious. | 조건이 유리하다. | A propitious moment to act. | 행동하기 유리한 순간.
veracity | vəˈræsɪti | 진실성, 정확성 | truthfulness, accuracy | falsehood | She questioned his veracity. | 진실성을 의심했다. | The veracity of the report. | 보고서의 정확성.
=== Day 28 ===
fastidious | fæˈstɪdiəs | 꼼꼼한, 까다로운 | meticulous, particular | careless | She is fastidious about cleanliness. | 청결에 까다롭다. | He has fastidious taste. | 취향이 까다롭다.
ephemeral | ɪˈfɛmərəl | 수명이 짧은, 단명하는 | short-lived, fleeting | lasting | Fame can be ephemeral. | 명성은 수명이 짧을 수 있다. | The beauty was ephemeral. | 아름다움은 잠깐이었다.
supercilious | ˌsuːpərˈsɪliəs | 거만한, 오만한 | arrogant, haughty | humble | She gave a supercilious smile. | 거만한 미소를 지었다. | His supercilious attitude offended everyone. | 오만한 태도가 모두를 기분 상하게 했다.
pernicious | pərˈnɪʃəs | 해로운, 치명적인 | harmful, deadly | harmless | The drug has pernicious effects. | 약이 해로운 영향을 미친다. | A pernicious influence. | 치명적인 영향.
spurious | ˈspjʊriəs | 가짜의, 허위의 | false, fake | genuine | The evidence was spurious. | 증거가 허위였다. | Spurious claims were rejected. | 가짜 주장이 기각되었다.
prologue | ˈproʊlɔːɡ | 서문, 서막 | introduction, preface | epilogue | She wrote a prologue. | 서문을 썼다. | The prologue sets the scene. | 서막이 장면을 설정한다.
egregious | ɪˈɡriːdʒəs | 지독한, 극심한 | terrible, appalling | minor | It was an egregious error. | 지독한 실수였다. | Egregious misconduct. | 극심한 비행.
contentment | kənˈtɛntmənt | 만족, 흡족함 | satisfaction, fulfillment | dissatisfaction | She found contentment in simple things. | 단순한 것에서 만족을 찾았다. | A sense of contentment. | 만족감.
juxtapose | ˌdʒʌkstəˈpoʊz | 나란히 놓다, 병치하다 | compare, contrast | - | She juxtaposed old and new photos. | 옛 사진과 새 사진을 나란히 놓았다. | Juxtapose the two ideas. | 두 아이디어를 병치해라.
garrulous | ˈɡærələs | 수다스러운, 말이 많은 | talkative, chatty | taciturn | She is very garrulous. | 매우 수다스럽다. | A garrulous old man. | 수다스러운 노인.
=== Day 29 ===
replete | rɪˈpliːt | 가득 찬, 충만한 | full, abundant | empty | The book is replete with examples. | 책이 예시로 가득 차 있다. | The menu is replete with options. | 메뉴가 선택지로 가득하다.
iconoclast | aɪˈkɑːnəklæst | 인습 타파주의자, 우상 파괴자 | rebel, nonconformist | conformist | She is an iconoclast in the industry. | 업계의 인습 타파주의자이다. | The artist was a true iconoclast. | 예술가가 진정한 우상 파괴자였다.
judiciously | dʒuːˈdɪʃəsli | 분별력 있게, 현명하게 | wisely, prudently | foolishly | She used her resources judiciously. | 자원을 분별력 있게 사용했다. | He acted judiciously. | 현명하게 행동했다.
ephemeral | ɪˈfɛmərəl | 순간적인, 단명하는 | transient, fleeting | permanent | Youth is ephemeral. | 젊음은 순간적이다. | Ephemeral trends come and go. | 순간적인 유행이 오고 간다.
munificent | mjuːˈnɪfɪsənt | 관대한, 후한 | generous, lavish | stingy | A munificent donation was made. | 관대한 기부가 이루어졌다. | The munificent benefactor. | 후한 후원자.
perfidious | pərˈfɪdiəs | 배신적인, 불성실한 | treacherous, disloyal | faithful | He is a perfidious friend. | 배신적인 친구이다. | A perfidious act of betrayal. | 불성실한 배신 행위.
sagacious | səˈɡeɪʃəs | 현명한, 슬기로운 | wise, shrewd | foolish | She is a sagacious leader. | 현명한 지도자이다. | His sagacious advice helped. | 슬기로운 조언이 도움이 되었다.
ostentatious | ˌɑːstɛnˈteɪʃəs | 과시적인, 거들먹거리는 | showy, flashy | modest | She wears ostentatious jewelry. | 과시적인 보석을 착용한다. | An ostentatious display of wealth. | 거들먹거리는 부의 과시.
vicissitudes | vɪˈsɪsɪtuːdz | 변천, 흥망성쇠 | changes, fluctuations | stability | The vicissitudes of life. | 인생의 변천. | She endured the vicissitudes. | 흥망성쇠를 견뎠다.
rectitude | ˈrɛktɪtuːd | 정직, 올바름 | integrity, virtue | corruption | She is a person of moral rectitude. | 도덕적 올바름의 소유자이다. | His rectitude is admired. | 정직이 존경받는다.
=== Day 30 ===
acumen | əˈkjuːmən | 통찰력, 안목 | insight, sharpness | - | She has business acumen. | 사업 통찰력이 있다. | His financial acumen is remarkable. | 재무 안목이 뛰어나다.
altercation | ˌɔːltərˈkeɪʃən | 말다툼, 언쟁 | argument, quarrel | agreement | A heated altercation broke out. | 격렬한 말다툼이 벌어졌다. | She avoided the altercation. | 언쟁을 피했다.
cacophony | kəˈkɑːfəni | 불협화음, 소음 | noise, discord | harmony | A cacophony of voices. | 불협화음의 목소리. | The cacophony was unbearable. | 소음이 견딜 수 없었다.
debilitate | dɪˈbɪlɪteɪt | 쇠약하게 하다, 약화시키다 | weaken, impair | strengthen | The illness debilitated her. | 질병이 그녀를 쇠약하게 했다. | Debilitating pain. | 쇠약하게 하는 통증.
excoriate | ɪkˈskɔːrieɪt | 맹비난하다, 피부를 벗기다 | criticize, denounce | praise | The press excoriated the politician. | 언론이 정치인을 맹비난했다. | She was excoriated for her decision. | 결정으로 맹비난받았다.
indefatigable | ˌɪndɪˈfætɪɡəbl | 지칠 줄 모르는 | tireless, relentless | lazy | She is an indefatigable worker. | 지칠 줄 모르는 일꾼이다. | His indefatigable spirit. | 불굴의 정신.
parsimonious | ˌpɑːrsɪˈmoʊniəs | 인색한, 검소한 | stingy, frugal | generous | He is parsimonious with money. | 돈에 인색하다. | Parsimonious spending. | 인색한 지출.
recapitulate | ˌriːkəˈpɪtʃuleɪt | 요약하다, 반복하다 | summarize, review | - | She recapitulated the main points. | 주요 요점을 요약했다. | Let me recapitulate. | 요약하겠습니다.
surreptitious | ˌsɜːrəpˈtɪʃəs | 은밀한, 몰래 하는 | secret, covert | open | A surreptitious meeting. | 은밀한 만남. | He took a surreptitious look. | 몰래 보았다.
veritable | ˈvɛrɪtəbl | 진정한, 틀림없는 | true, genuine | false | She is a veritable expert. | 진정한 전문가이다. | A veritable treasure. | 틀림없는 보물.

=== Day 31 ===
quintessential | ˌkwɪntɪˈsɛnʃəl | 전형적인, 정수의 | typical, archetypal | atypical | She is the quintessential leader. | 전형적인 지도자이다. | A quintessential example. | 전형적인 예.
deleterious | ˌdɛlɪˈtɪriəs | 해로운, 유해한 | harmful, damaging | beneficial | Smoking has deleterious effects. | 흡연이 유해한 영향을 미친다. | Deleterious to health. | 건강에 해로운.
prodigious | prəˈdɪdʒəs | 엄청난, 놀라운 | enormous, remarkable | small | She has prodigious talent. | 엄청난 재능이 있다. | A prodigious feat. | 놀라운 위업.
