=== Day 36 ===
loquacious | loʊˈkweɪʃəs | 수다스러운, 말이 많은 | talkative, garrulous | taciturn | She is very loquacious. | 매우 수다스럽다. | A loquacious neighbor. | 수다스러운 이웃.
diatribe | ˈdaɪətraɪb | 통렬한 비판, 맹비난 | tirade, criticism | praise | She launched a diatribe against corruption. | 부패에 대한 통렬한 비판을 했다. | A bitter diatribe. | 신랄한 맹비난.
egregious | ɪˈɡriːdʒəs | 극심한, 지독한 | terrible, appalling | minor | An egregious mistake. | 지독한 실수. | Egregious violations. | 극심한 위반.
ignominy | ˈɪɡnəmɪni | 치욕, 불명예 | disgrace, shame | honor | She suffered ignominy. | 치욕을 당했다. | The ignominy of failure. | 실패의 불명예.
sycophant | ˈsɪkəfænt | 아첨꾼 | flatterer | critic | He is surrounded by sycophants. | 아첨꾼들에게 둘러싸여 있다. | She detests sycophants. | 아첨꾼을 혐오한다.
ubiquitous | juːˈbɪkwɪtəs | 편재하는, 어디에나 있는 | omnipresent | rare | Smartphones are ubiquitous. | 스마트폰이 편재한다. | Pollution is ubiquitous. | 오염이 어디에나 있다.
anomalous | əˈnɑːmələs | 비정상적인, 이례적인 | abnormal, irregular | normal | Anomalous weather patterns. | 이례적인 기상 패턴. | The result was anomalous. | 결과가 비정상적이었다.
truculent | ˈtrʌkjələnt | 호전적인, 난폭한 | aggressive, belligerent | mild | A truculent debater. | 호전적인 토론자. | His truculent manner. | 난폭한 태도.
voracious | vɔːˈreɪʃəs | 탐욕스러운, 게걸스러운 | greedy, insatiable | moderate | She is a voracious reader. | 게걸스러운 독서가이다. | A voracious appetite. | 탐욕스러운 식욕.
effrontery | ɪˈfrʌntəri | 뻔뻔함, 후안무치 | audacity, nerve | modesty | She had the effrontery to lie. | 뻔뻔하게도 거짓말을 했다. | He showed great effrontery. | 대단한 후안무치를 보였다.
=== Day 38 ===
assiduous | əˈsɪdjuəs | 근면한, 끈기 있는 | diligent, persistent | lazy | She is an assiduous student. | 근면한 학생이다. | Assiduous effort yields results. | 끈기 있는 노력이 결과를 낸다.
diffident | ˈdɪfɪdənt | 자신 없는, 수줍은 | shy, timid | confident | She is diffident about her abilities. | 능력에 자신이 없다. | A diffident young woman. | 수줍은 젊은 여성.
garrulous | ˈɡærələs | 수다스러운 | talkative, loquacious | reserved | A garrulous storyteller. | 수다스러운 이야기꾼. | She became garrulous. | 수다스러워졌다.
proclivity | proʊˈklɪvɪti | 성향, 경향 | tendency, propensity | aversion | A proclivity for mischief. | 장난에 대한 성향. | Her proclivity for art. | 예술에 대한 경향.
irascible | ɪˈræsɪbl | 화를 잘 내는, 성마른 | irritable, hot-tempered | calm | He is irascible in the morning. | 아침에 성마르다. | An irascible old man. | 화를 잘 내는 노인.
obstreperous | əbˈstrɛpərəs | 시끄러운, 난폭한 | noisy, unruly | quiet | Obstreperous children. | 시끄러운 아이들. | The crowd became obstreperous. | 군중이 소란스러워졌다.
pugnacious | pʌɡˈneɪʃəs | 호전적인, 싸우기 좋아하는 | combative, aggressive | peaceful | A pugnacious personality. | 호전적인 성격. | He is naturally pugnacious. | 본래 싸우기 좋아한다.
serendipitous | ˌsɛrənˈdɪpɪtəs | 우연히 발견한, 뜻밖의 | fortunate, lucky | planned | A serendipitous discovery. | 우연한 발견. | Their meeting was serendipitous. | 만남이 뜻밖이었다.
imperious | ɪmˈpɪriəs | 오만한, 거만한 | domineering, arrogant | humble | An imperious tone of voice. | 오만한 말투. | She has an imperious manner. | 거만한 태도가 있다.
insolent | ˈɪnsələnt | 무례한, 건방진 | rude, disrespectful | polite | His insolent remarks offended her. | 무례한 발언이 기분을 상하게 했다. | An insolent child. | 건방진 아이.
=== Day 39 ===
nefarious | nɪˈfɛriəs | 극악무도한, 사악한 | wicked, evil | virtuous | A nefarious scheme. | 사악한 계획. | Nefarious activities. | 극악무도한 활동.
morose | məˈroʊs | 시무룩한, 음울한 | gloomy, sullen | cheerful | She was morose after the loss. | 손실 후 시무룩했다. | A morose expression. | 음울한 표정.
gregarious | ɡrɪˈɡɛriəs | 사교적인, 군집하는 | sociable, outgoing | solitary | She is very gregarious. | 매우 사교적이다. | Gregarious animals live in groups. | 군집 동물이 무리 지어 산다.
reticent | ˈrɛtɪsənt | 말이 없는, 과묵한 | reserved, quiet | talkative | She is reticent about her past. | 과거에 대해 과묵하다. | A reticent person. | 말이 없는 사람.
surreptitious | ˌsɜːrəpˈtɪʃəs | 은밀한, 몰래 하는 | covert, secret | overt | A surreptitious glance. | 은밀한 시선. | Surreptitious recording. | 몰래 녹음.
obsequious | əbˈsiːkwiəs | 아첨하는, 비굴한 | servile, submissive | assertive | Obsequious behavior toward the boss. | 상사에 대한 비굴한 행동. | An obsequious assistant. | 아첨하는 보좌관.
magniloquent | mæɡˈnɪləkwənt | 과장하여 말하는, 거창한 | pompous, grandiose | understated | A magniloquent speech. | 과장된 연설. | His magniloquent claims. | 거창한 주장.
munificent | mjuːˈnɪfɪsənt | 관대한, 후한 | generous, lavish | stingy | A munificent gift. | 관대한 선물. | The munificent donation helped. | 후한 기부가 도움이 되었다.
supercilious | ˌsuːpərˈsɪliəs | 거만한, 건방진 | arrogant, haughty | humble | A supercilious attitude. | 거만한 태도. | Her supercilious manner. | 건방진 태도.
desultory | ˈdɛsəltɔːri | 산만한, 일관성 없는 | random, aimless | focused | A desultory conversation. | 산만한 대화. | Desultory attempts. | 일관성 없는 시도.
=== Day 40 ===
acerbic | əˈsɜːrbɪk | 신랄한, 매서운 | sharp, biting | mild | Her acerbic comments. | 신랄한 발언. | An acerbic critic. | 매서운 비평가.
laconic | ləˈkɑːnɪk | 간결한, 과묵한 | brief, concise | verbose | A laconic reply. | 간결한 응답. | He gave a laconic answer. | 과묵하게 대답했다.
pedantic | pɪˈdæntɪk | 현학적인, 학식을 뽐내는 | academic, fussy | casual | He is pedantic about grammar. | 문법에 현학적이다. | A pedantic professor. | 현학적인 교수.
recondite | ˈrɛkəndaɪt | 난해한, 심오한 | obscure, profound | simple | Recondite philosophical ideas. | 난해한 철학적 아이디어. | The topic is recondite. | 주제가 심오하다.
vapid | ˈvæpɪd | 지루한, 김 빠진 | dull, bland | exciting | She gave a vapid speech. | 지루한 연설을 했다. | Vapid entertainment. | 김 빠진 오락.
histrionic | ˌhɪstriˈɑːnɪk | 연극적인, 과장된 | dramatic, theatrical | understated | Her histrionic outbursts. | 연극적인 폭발. | Histrionic behavior. | 과장된 행동.
obfuscate | ˈɑːbfəskeɪt | 흐리게 하다, 혼동시키다 | confuse, obscure | clarify | She obfuscated the issue. | 문제를 흐리게 했다. | Don't obfuscate the truth. | 진실을 혼동시키지 마.
perfidious | pərˈfɪdiəs | 배반하는, 불성실한 | disloyal, treacherous | faithful | A perfidious betrayal. | 불성실한 배신. | His perfidious nature. | 배반하는 성격.
sycophantic | ˌsɪkəˈfæntɪk | 아첨하는 | flattering, servile | honest | Sycophantic praise. | 아첨하는 칭찬. | His sycophantic manner. | 아첨하는 태도.
trepidation | ˌtrɛpɪˈdeɪʃən | 불안, 공포 | anxiety, fear | confidence | She felt trepidation. | 불안을 느꼈다. | With great trepidation. | 큰 공포와 함께.
=== Day 41 ===
grandiloquent | ɡrænˈdɪləkwənt | 거창한, 과장된 | pompous, bombastic | simple | Grandiloquent speeches. | 거창한 연설. | His grandiloquent words. | 과장된 말.
inscrutable | ɪnˈskruːtəbl | 불가해한, 이해할 수 없는 | mysterious, enigmatic | transparent | An inscrutable expression. | 불가해한 표정. | Her inscrutable motives. | 이해할 수 없는 동기.
prevaricate | prɪˈværɪkeɪt | 얼버무리다, 말을 돌리다 | equivocate, evade | be direct | She prevaricated when asked. | 질문받자 얼버무렸다. | Don't prevaricate. | 말을 돌리지 마.
recalcitrant | rɪˈkælsɪtrənt | 반항적인 | stubborn, rebellious | obedient | A recalcitrant student. | 반항적인 학생. | Recalcitrant behavior. | 반항적 행동.
circumlocution | ˌsɜːrkəmloʊˈkjuːʃən | 완곡어법, 말을 빙빙 돌림 | roundabout speech | directness | She used circumlocution. | 완곡어법을 사용했다. | Avoid circumlocution. | 말을 빙빙 돌리지 마.
fastidious | fæˈstɪdiəs | 까다로운, 꼼꼼한 | meticulous, fussy | careless | She is fastidious about hygiene. | 위생에 까다롭다. | A fastidious nature. | 까다로운 성격.
parsimonious | ˌpɑːrsɪˈmoʊniəs | 인색한, 검소한 | stingy, frugal | generous | A parsimonious lifestyle. | 인색한 생활방식. | He is parsimonious. | 인색하다.
ostentatious | ˌɑːstɛnˈteɪʃəs | 과시적인 | showy, flashy | modest | An ostentatious display. | 과시적 전시. | Ostentatious wealth. | 과시적인 부.
querulous | ˈkwɛrələs | 불평이 많은 | complaining, petulant | content | A querulous patient. | 불평이 많은 환자. | Her querulous tone. | 불평하는 어조.
intransigent | ɪnˈtrænsɪdʒənt | 화해를 거부하는, 비타협적인 | uncompromising, stubborn | flexible | She remained intransigent. | 비타협적인 채로 남았다. | His intransigent position. | 비타협적인 입장.
=== Day 42 ===
equanimity | ˌiːkwəˈnɪmɪti | 침착, 평정 | composure, calm | agitation | She faced the crisis with equanimity. | 위기를 침착하게 맞았다. | He maintained equanimity. | 평정을 유지했다.
insouciant | ɪnˈsuːsiənt | 태평한, 무관심한 | carefree, nonchalant | worried | An insouciant attitude. | 태평한 태도. | She seemed insouciant. | 무관심해 보였다.
vacuous | ˈvækjuəs | 공허한, 멍한, 어리석은 | empty, mindless | thoughtful | A vacuous expression. | 멍한 표정. | Vacuous remarks. | 공허한 발언.
chicanery | ʃɪˈkeɪnəri | 속임수, 궤변 | trickery, deception | honesty | Political chicanery. | 정치적 속임수. | He resorted to chicanery. | 궤변에 의지했다.
quagmire | ˈkwæɡmaɪr | 수렁, 곤경 | swamp, predicament | - | The project became a quagmire. | 프로젝트가 수렁에 빠졌다. | A political quagmire. | 정치적 곤경.
palliative | ˈpæliətɪv | 완화하는; 완화제 | soothing, relieving | - | Palliative care for patients. | 환자를 위한 완화 치료. | A palliative measure. | 완화 조치.
dogmatic | dɔːɡˈmætɪk | 독단적인, 교조적인 | opinionated, authoritarian | open-minded | He is dogmatic about his views. | 견해에 독단적이다. | A dogmatic approach. | 독단적 접근.
pernicious | pərˈnɪʃəs | 해로운, 치명적인 | harmful, deadly | harmless | A pernicious habit. | 해로운 습관. | The pernicious effects. | 치명적 영향.
propitious | prəˈpɪʃəs | 유리한, 상서로운 | favorable, auspicious | unfavorable | A propitious time. | 유리한 시기. | Propitious conditions. | 상서로운 조건.
pertinacious | ˌpɜːrtɪˈneɪʃəs | 완강한, 끈질긴 | persistent, tenacious | yielding | She was pertinacious in her efforts. | 노력에 끈질겼다. | A pertinacious argument. | 완강한 논증.
=== Day 43 ===
mercurial | mɜːrˈkjʊriəl | 변덕스러운, 활발한 | unpredictable, volatile | stable | Her mercurial temperament. | 변덕스러운 기질. | A mercurial personality. | 변덕스러운 성격.
obdurate | ˈɑːbdjʊrɪt | 완고한, 냉혹한 | stubborn, inflexible | flexible | He remained obdurate. | 완고한 채로 남았다. | An obdurate refusal. | 완고한 거절.
perspicuous | pərˈspɪkjuəs | 명쾌한, 알기 쉬운 | clear, lucid | confusing | A perspicuous explanation. | 명쾌한 설명. | Her writing is perspicuous. | 글이 알기 쉽다.
surreptitious | ˌsɜːrəpˈtɪʃəs | 은밀한 | secret, covert | open | A surreptitious action. | 은밀한 행동. | Surreptitious glances. | 은밀한 시선.
inimitable | ɪˈnɪmɪtəbl | 모방할 수 없는, 독특한 | unique, matchless | common | Her inimitable style. | 모방할 수 없는 스타일. | An inimitable performance. | 독특한 공연.
mellifluous | mɪˈlɪfluəs | 감미로운, 유창한 | sweet, smooth | harsh | A mellifluous voice. | 감미로운 목소리. | Mellifluous words. | 유창한 말.
redoubtable | rɪˈdaʊtəbl | 무시무시한, 만만치 않은 | formidable, fearsome | weak | A redoubtable opponent. | 만만치 않은 상대. | She is a redoubtable force. | 무시무시한 힘이다.
vituperative | vaɪˈtjuːpərətɪv | 독설적인, 맹렬히 비난하는 | abusive, harsh | praising | Vituperative language. | 독설적 언어. | A vituperative attack. | 맹렬한 비난.
lugubrious | luːˈɡuːbriəs | 슬픈, 우울한 | mournful, dismal | joyful | A lugubrious melody. | 슬픈 멜로디. | His lugubrious face. | 우울한 얼굴.
trenchant | ˈtrɛntʃənt | 통렬한, 날카로운 | sharp, incisive | dull | A trenchant critique. | 통렬한 비평. | Trenchant wit. | 날카로운 재치.
=== Day 44 ===
feckless | ˈfɛkləs | 무책임한, 무기력한 | irresponsible, weak | responsible | A feckless leader. | 무책임한 지도자. | Feckless behavior. | 무기력한 행동.
byzantine | ˈbɪzəntiːn | 복잡한, 뒤얽힌 | complex, intricate | simple | Byzantine bureaucracy. | 복잡한 관료제. | A byzantine legal system. | 뒤얽힌 법률 체계.
martinet | ˌmɑːrtɪˈnɛt | 엄격한 사람, 훈련관 | disciplinarian, tyrant | - | The teacher is a martinet. | 선생님이 엄격한 사람이다. | A military martinet. | 군사적 훈련관.
recondite | ˈrɛkəndaɪt | 난해한, 심오한 | abstruse, arcane | accessible | Recondite knowledge. | 난해한 지식. | A recondite subject. | 심오한 주제.
officious | əˈfɪʃəs | 지나치게 참견하는, 주제넘은 | meddlesome, intrusive | reserved | An officious bureaucrat. | 주제넘은 관료. | His officious manner. | 지나치게 참견하는 태도.
sycophancy | ˈsɪkəfənsi | 아첨, 아부 | flattery | honesty | Corporate sycophancy. | 기업의 아첨. | He despises sycophancy. | 아부를 경멸한다.
obsequious | əbˈsiːkwiəs | 비굴한, 아첨하는 | servile, fawning | assertive | Obsequious flattery. | 비굴한 아첨. | His obsequious manner. | 아첨하는 태도.
excoriate | ɪkˈskɔːrieɪt | 맹비난하다 | criticize, denounce | praise | The critic excoriated the film. | 비평가가 영화를 맹비난했다. | She was excoriated in the press. | 언론에서 맹비난받았다.
plethora | ˈplɛθərə | 과다, 과잉 | excess, abundance | scarcity | A plethora of options. | 과다한 선택지. | She faces a plethora of problems. | 과다한 문제에 직면했다.
supine | suːˈpaɪn | 드러누운, 게으른 | passive, idle | active | A supine workforce. | 게으른 인력. | He lay supine on the floor. | 바닥에 드러누웠다.
=== Day 45 ===
assiduously | əˈsɪdjuəsli | 근면하게, 꾸준히 | diligently, persistently | lazily | She studied assiduously. | 근면하게 공부했다. | He worked assiduously. | 꾸준히 일했다.
intransigence | ɪnˈtrænsɪdʒəns | 비타협, 고집 | stubbornness | flexibility | Political intransigence. | 정치적 비타협. | His intransigence frustrated everyone. | 고집이 모두를 좌절시켰다.
prescience | ˈprɛʃəns | 선견지명, 예지력 | foresight, insight | shortsightedness | She showed prescience. | 선견지명을 보였다. | His prescience was remarkable. | 예지력이 놀라웠다.
quiescent | kwiˈɛsənt | 정지 상태인, 조용한 | inactive, dormant | active | The volcano is quiescent. | 화산이 정지 상태이다. | A quiescent period. | 조용한 기간.
recidivism | rɪˈsɪdɪvɪzəm | 재범, 누범 | relapse | reform | The recidivism rate is high. | 재범률이 높다. | Programs to reduce recidivism. | 재범을 줄이기 위한 프로그램.
sagacity | səˈɡæsɪti | 현명함, 총명 | wisdom, insight | foolishness | She is known for her sagacity. | 현명함으로 알려져 있다. | His sagacity guided the team. | 총명함이 팀을 이끌었다.
inimical | ɪˈnɪmɪkəl | 적대적인, 해로운 | hostile, harmful | friendly | An inimical environment. | 적대적인 환경. | Factors inimical to growth. | 성장에 해로운 요인.
truculent | ˈtrʌkjələnt | 호전적인, 난폭한 | belligerent, aggressive | peaceful | A truculent attitude. | 호전적인 태도. | He was truculent. | 난폭했다.
usurious | juːˈʒʊriəs | 고리대금의, 착취적인 | exploitative | fair | Usurious interest rates. | 고리대금 이자율. | Usurious lending practices. | 착취적 대출 관행.
verisimilitude | ˌvɛrɪsɪˈmɪlɪtuːd | 사실성, 핍진성 | realism, authenticity | - | The novel has great verisimilitude. | 소설이 큰 사실성이 있다. | Verisimilitude in art. | 예술의 핍진성.
